Item,Quantity,Price
Onion,7,8.58
Onion,7,8.58
Onion,7,8.58
Banana,6,3.58
Cheese,9,6.97
Coffee,7,5.51
Cheese,9,6.97
Banana,6,3.58
Cheese,9,6.97
Apple,3,9.39
Apple,3,9.39
Bread,10,3.33
Guava,4,2.94
Tea,8,3.9
Banana,6,3.58
Apple,3,9.39
Guava,4,2.94
Bread,10,3.33
Cheese,9,6.97
Coffee,7,5.51
Guava,4,2.94
Tea,8,3.9
Apple,3,9.39
Kiwi,5,7.09
Bread,10,3.33
Kiwi,5,7.09
Cheese,9,6.97
Kiwi,5,7.09
Apple,3,9.39
Milk,3,2.18
Onion,7,8.58
Banana,6,3.58
Apple,3,9.39
Milk,3,2.18
Milk,3,2.18
Cheese,9,6.97
Apple,3,9.39
Guava,4,2.94
Milk,3,2.18
Milk,3,2.18
Milk,3,2.18
Milk,3,2.18
Apple,3,9.39
Tea,8,3.9
Milk,3,2.18
Banana,6,3.58
Apple,3,9.39
Milk,3,2.18
Onion,7,8.58
Milk,3,2.18
Banana,6,3.58
Guava,4,2.94
Kiwi,5,7.09
Tea,8,3.9
Banana,6,3.58
Milk,3,2.18
Banana,6,3.58
Coffee,7,5.51
Milk,3,2.18
Banana,6,3.58
Banana,6,3.58
Kiwi,5,7.09
Onion,7,8.58
Guava,4,2.94
Guava,4,2.94
Coffee,7,5.51
Onion,7,8.58
Tea,8,3.9
Banana,6,3.58
Cheese,9,6.97
Bread,10,3.33
Bread,10,3.33
Guava,4,2.94
Coffee,7,5.51
Coffee,7,5.51
Tea,8,3.9
Guava,4,2.94
Guava,4,2.94
Bread,10,3.33
Cheese,9,6.97
Onion,7,8.58
Kiwi,5,7.09
Apple,3,9.39
Cheese,9,6.97
Guava,4,2.94
Onion,7,8.58
Milk,3,2.18
Coffee,7,5.51
Apple,3,9.39
Kiwi,5,7.09
Milk,3,2.18
Apple,3,9.39
Onion,7,8.58
Coffee,7,5.51
Milk,3,2.18
Tea,8,3.9
Cheese,9,6.97
Banana,6,3.58
Coffee,7,5.51
Bread,10,3.33
